Runtime,Computationaltime,Backtracks
0 days 00:00:07.104316,0 days 00:00:07.096007,0
0 days 00:00:07.111590,0 days 00:00:07.104954,0
0 days 00:00:07.121681,0 days 00:00:07.112722,0
0 days 00:00:07.130343,0 days 00:00:07.122482,0
0 days 00:00:07.138660,0 days 00:00:07.131190,0
0 days 00:00:07.145782,0 days 00:00:07.139277,0
0 days 00:00:07.153430,0 days 00:00:07.146528,0
0 days 00:00:07.160285,0 days 00:00:07.154032,0
0 days 00:00:07.168145,0 days 00:00:07.161075,0
0 days 00:00:07.175039,0 days 00:00:07.168788,0
0 days 00:00:07.182464,0 days 00:00:07.175776,0
0 days 00:00:07.189875,0 days 00:00:07.183209,0
0 days 00:00:07.197189,0 days 00:00:07.190548,0
0 days 00:00:07.205035,0 days 00:00:07.197916,0
0 days 00:00:07.212087,0 days 00:00:07.205619,0
0 days 00:00:07.219696,0 days 00:00:07.212824,0
0 days 00:00:07.226634,0 days 00:00:07.220301,0
0 days 00:00:07.235109,0 days 00:00:07.227449,0
0 days 00:00:07.242447,0 days 00:00:07.235750,0
0 days 00:00:07.250021,0 days 00:00:07.243197,0
0 days 00:00:07.257737,0 days 00:00:07.250805,0
0 days 00:00:07.266400,0 days 00:00:07.258598,0
0 days 00:00:07.273589,0 days 00:00:07.267065,0
0 days 00:00:07.280296,0 days 00:00:07.274222,0
0 days 00:00:07.288441,0 days 00:00:07.281174,0
0 days 00:00:07.295429,0 days 00:00:07.289067,0
0 days 00:00:07.303297,0 days 00:00:07.296225,0
0 days 00:00:07.310272,0 days 00:00:07.303930,0
0 days 00:00:07.318079,0 days 00:00:07.311024,0
0 days 00:00:07.325182,0 days 00:00:07.318692,0
0 days 00:00:07.332843,0 days 00:00:07.325909,0
0 days 00:00:07.340427,0 days 00:00:07.333590,0
0 days 00:00:07.349439,0 days 00:00:07.341314,0
0 days 00:00:07.356964,0 days 00:00:07.350272,0
0 days 00:00:07.363914,0 days 00:00:07.357615,0
0 days 00:00:07.372263,0 days 00:00:07.364845,0
0 days 00:00:07.379632,0 days 00:00:07.372922,0
0 days 00:00:07.387749,0 days 00:00:07.380509,0
0 days 00:00:07.394906,0 days 00:00:07.388463,0
0 days 00:00:07.403012,0 days 00:00:07.395859,0
0 days 00:00:07.410064,0 days 00:00:07.403591,0
0 days 00:00:07.419220,0 days 00:00:07.411295,0
0 days 00:00:07.426127,0 days 00:00:07.419795,0
0 days 00:00:07.433968,0 days 00:00:07.426919,0
0 days 00:00:07.441055,0 days 00:00:07.434667,0
0 days 00:00:07.449170,0 days 00:00:07.441860,0
0 days 00:00:07.457023,0 days 00:00:07.450004,0
0 days 00:00:07.464448,0 days 00:00:07.457694,0
0 days 00:00:07.472458,0 days 00:00:07.465312,0
0 days 00:00:07.479608,0 days 00:00:07.473101,0
0 days 00:00:07.487976,0 days 00:00:07.480561,0
0 days 00:00:07.495368,0 days 00:00:07.488608,0
0 days 00:00:07.503404,0 days 00:00:07.496222,0
0 days 00:00:07.510427,0 days 00:00:07.504042,0
0 days 00:00:07.518438,0 days 00:00:07.511263,0
0 days 00:00:07.525317,0 days 00:00:07.519055,0
0 days 00:00:07.532871,0 days 00:00:07.526123,0
0 days 00:00:07.540111,0 days 00:00:07.533552,0
0 days 00:00:07.547195,0 days 00:00:07.540822,0
0 days 00:00:07.554959,0 days 00:00:07.547999,0
