Runtime,Computationaltime,Backtracks
0 days 00:00:04.741265,0 days 00:00:04.737693,0
0 days 00:00:04.745224,0 days 00:00:04.741582,0
0 days 00:00:04.749102,0 days 00:00:04.745550,0
0 days 00:00:04.753102,0 days 00:00:04.749422,0
0 days 00:00:04.756993,0 days 00:00:04.753416,0
0 days 00:00:04.761018,0 days 00:00:04.757292,0
0 days 00:00:04.765108,0 days 00:00:04.761328,0
0 days 00:00:04.769056,0 days 00:00:04.765408,0
0 days 00:00:04.772966,0 days 00:00:04.769349,0
0 days 00:00:04.776892,0 days 00:00:04.773271,0
0 days 00:00:04.780835,0 days 00:00:04.777227,0
0 days 00:00:04.784836,0 days 00:00:04.781143,0
0 days 00:00:04.788699,0 days 00:00:04.785127,0
0 days 00:00:04.792744,0 days 00:00:04.789008,0
0 days 00:00:04.796664,0 days 00:00:04.793070,0
0 days 00:00:04.800524,0 days 00:00:04.796970,0
0 days 00:00:04.804352,0 days 00:00:04.800823,0
0 days 00:00:04.808229,0 days 00:00:04.804673,0
0 days 00:00:04.812283,0 days 00:00:04.808566,0
0 days 00:00:04.816285,0 days 00:00:04.812623,0
0 days 00:00:04.820266,0 days 00:00:04.816605,0
0 days 00:00:04.824228,0 days 00:00:04.820568,0
0 days 00:00:04.828337,0 days 00:00:04.824550,0
0 days 00:00:04.832369,0 days 00:00:04.828676,0
0 days 00:00:04.836349,0 days 00:00:04.832666,0
0 days 00:00:04.840397,0 days 00:00:04.836660,0
0 days 00:00:04.844425,0 days 00:00:04.840730,0
0 days 00:00:04.848305,0 days 00:00:04.844742,0
0 days 00:00:04.852328,0 days 00:00:04.848648,0
0 days 00:00:04.856402,0 days 00:00:04.852659,0
0 days 00:00:04.860353,0 days 00:00:04.856744,0
0 days 00:00:04.864342,0 days 00:00:04.860695,0
0 days 00:00:04.868180,0 days 00:00:04.864648,0
0 days 00:00:04.872097,0 days 00:00:04.868496,0
0 days 00:00:04.876074,0 days 00:00:04.872410,0
0 days 00:00:04.880064,0 days 00:00:04.876381,0
0 days 00:00:04.884043,0 days 00:00:04.880410,0
0 days 00:00:04.887966,0 days 00:00:04.884367,0
0 days 00:00:04.891868,0 days 00:00:04.888257,0
0 days 00:00:04.895812,0 days 00:00:04.892183,0
0 days 00:00:04.899798,0 days 00:00:04.896133,0
0 days 00:00:04.903658,0 days 00:00:04.900089,0
0 days 00:00:04.907506,0 days 00:00:04.903948,0
0 days 00:00:04.911459,0 days 00:00:04.907838,0
0 days 00:00:04.915513,0 days 00:00:04.911778,0
0 days 00:00:04.919435,0 days 00:00:04.915843,0
0 days 00:00:04.923352,0 days 00:00:04.919753,0
0 days 00:00:04.927240,0 days 00:00:04.923644,0
0 days 00:00:04.931166,0 days 00:00:04.927561,0
0 days 00:00:04.935027,0 days 00:00:04.931480,0
0 days 00:00:04.938889,0 days 00:00:04.935340,0
0 days 00:00:04.942750,0 days 00:00:04.939205,0
0 days 00:00:04.946656,0 days 00:00:04.943045,0
0 days 00:00:04.950599,0 days 00:00:04.946951,0
0 days 00:00:04.954579,0 days 00:00:04.950907,0
0 days 00:00:04.958486,0 days 00:00:04.954898,0
0 days 00:00:04.962390,0 days 00:00:04.958797,0
0 days 00:00:04.966201,0 days 00:00:04.962706,0
0 days 00:00:04.970197,0 days 00:00:04.966510,0
0 days 00:00:04.974111,0 days 00:00:04.970505,0
0 days 00:00:04.978055,0 days 00:00:04.974406,0
0 days 00:00:04.981996,0 days 00:00:04.978354,0
0 days 00:00:04.985878,0 days 00:00:04.982299,0
0 days 00:00:04.989757,0 days 00:00:04.986202,0
0 days 00:00:04.993783,0 days 00:00:04.990089,0
0 days 00:00:04.997610,0 days 00:00:04.994075,0
0 days 00:00:05.001506,0 days 00:00:04.997900,0
0 days 00:00:05.005508,0 days 00:00:05.001803,0
0 days 00:00:05.009459,0 days 00:00:05.005813,0
0 days 00:00:05.013409,0 days 00:00:05.009780,0
0 days 00:00:05.017357,0 days 00:00:05.013742,0
0 days 00:00:05.022045,0 days 00:00:05.017786,0
0 days 00:00:05.026020,0 days 00:00:05.022392,0
0 days 00:00:05.030026,0 days 00:00:05.026388,0
0 days 00:00:05.034067,0 days 00:00:05.030334,0
0 days 00:00:05.038132,0 days 00:00:05.034417,0
0 days 00:00:05.042116,0 days 00:00:05.038447,0
0 days 00:00:05.046051,0 days 00:00:05.042412,0
0 days 00:00:05.049954,0 days 00:00:05.046369,0
0 days 00:00:05.053945,0 days 00:00:05.050254,0
0 days 00:00:05.057845,0 days 00:00:05.054246,0
0 days 00:00:05.061780,0 days 00:00:05.058170,0
0 days 00:00:05.065592,0 days 00:00:05.062085,0
0 days 00:00:05.069590,0 days 00:00:05.065914,0
0 days 00:00:05.073542,0 days 00:00:05.069882,0
0 days 00:00:05.077476,0 days 00:00:05.073875,0
0 days 00:00:05.081453,0 days 00:00:05.077795,0
0 days 00:00:05.085538,0 days 00:00:05.081808,0
0 days 00:00:05.089593,0 days 00:00:05.085859,0
0 days 00:00:05.093541,0 days 00:00:05.089907,0
0 days 00:00:05.097524,0 days 00:00:05.093900,0
0 days 00:00:05.101457,0 days 00:00:05.097862,0
0 days 00:00:05.105410,0 days 00:00:05.101773,0
0 days 00:00:05.109292,0 days 00:00:05.105708,0
0 days 00:00:05.113370,0 days 00:00:05.109617,0
0 days 00:00:05.117312,0 days 00:00:05.113690,0
0 days 00:00:05.121351,0 days 00:00:05.117660,0
0 days 00:00:05.125230,0 days 00:00:05.121690,0
0 days 00:00:05.129379,0 days 00:00:05.125621,0
0 days 00:00:05.133519,0 days 00:00:05.129704,0
0 days 00:00:05.137640,0 days 00:00:05.133873,0
0 days 00:00:05.141550,0 days 00:00:05.137999,0
0 days 00:00:05.145547,0 days 00:00:05.141872,0
0 days 00:00:05.149584,0 days 00:00:05.145881,0
0 days 00:00:05.153597,0 days 00:00:05.149902,0
0 days 00:00:05.157640,0 days 00:00:05.153920,0
0 days 00:00:05.161541,0 days 00:00:05.157946,0
0 days 00:00:05.165774,0 days 00:00:05.161923,0
0 days 00:00:05.169711,0 days 00:00:05.166063,0
0 days 00:00:05.173729,0 days 00:00:05.170037,0
0 days 00:00:05.177724,0 days 00:00:05.174026,0
