Runtime,Computationaltime,Backtracks
0 days 00:00:00.949158,0 days 00:00:00.945294,0
0 days 00:00:00.953751,0 days 00:00:00.949899,0
0 days 00:00:00.958369,0 days 00:00:00.954498,0
0 days 00:00:00.963227,0 days 00:00:00.959248,0
0 days 00:00:00.967862,0 days 00:00:00.964006,0
0 days 00:00:00.972488,0 days 00:00:00.968586,0
0 days 00:00:00.977323,0 days 00:00:00.973272,0
0 days 00:00:00.982284,0 days 00:00:00.978216,0
0 days 00:00:00.986952,0 days 00:00:00.983039,0
0 days 00:00:00.991727,0 days 00:00:00.987790,0
0 days 00:00:00.996505,0 days 00:00:00.992586,0
0 days 00:00:01.001043,0 days 00:00:00.997256,0
0 days 00:00:01.005722,0 days 00:00:01.001801,0
0 days 00:00:01.010636,0 days 00:00:01.006573,0
0 days 00:00:01.015572,0 days 00:00:01.011494,0
0 days 00:00:01.020061,0 days 00:00:01.016342,0
0 days 00:00:01.024539,0 days 00:00:01.020767,0
0 days 00:00:01.029329,0 days 00:00:01.025420,0
0 days 00:00:01.034161,0 days 00:00:01.030228,0
0 days 00:00:01.038743,0 days 00:00:01.034937,0
0 days 00:00:01.043509,0 days 00:00:01.039585,0
0 days 00:00:01.048550,0 days 00:00:01.044494,0
0 days 00:00:01.053205,0 days 00:00:01.049333,0
0 days 00:00:01.057844,0 days 00:00:01.053952,0
0 days 00:00:01.062828,0 days 00:00:01.058812,0
0 days 00:00:01.067420,0 days 00:00:01.063597,0
0 days 00:00:01.072005,0 days 00:00:01.068180,0
0 days 00:00:01.076732,0 days 00:00:01.072854,0
0 days 00:00:01.081736,0 days 00:00:01.077635,0
0 days 00:00:01.086293,0 days 00:00:01.082479,0
0 days 00:00:01.090890,0 days 00:00:01.087057,0
0 days 00:00:01.095713,0 days 00:00:01.091811,0
0 days 00:00:01.100346,0 days 00:00:01.096535,0
0 days 00:00:01.104953,0 days 00:00:01.101181,0
0 days 00:00:01.109486,0 days 00:00:01.105700,0
0 days 00:00:01.114260,0 days 00:00:01.110338,0
0 days 00:00:01.118862,0 days 00:00:01.115057,0
0 days 00:00:01.123510,0 days 00:00:01.119599,0
0 days 00:00:01.128279,0 days 00:00:01.124391,0
0 days 00:00:01.133127,0 days 00:00:01.129134,0
0 days 00:00:01.137716,0 days 00:00:01.133891,0
0 days 00:00:01.142236,0 days 00:00:01.138471,0
0 days 00:00:01.147135,0 days 00:00:01.143105,0
0 days 00:00:01.151761,0 days 00:00:01.147906,0
0 days 00:00:01.156345,0 days 00:00:01.152511,0
0 days 00:00:01.161109,0 days 00:00:01.157241,0
0 days 00:00:01.165842,0 days 00:00:01.161946,0
0 days 00:00:01.170380,0 days 00:00:01.166615,0
0 days 00:00:01.175117,0 days 00:00:01.171217,0
0 days 00:00:01.179815,0 days 00:00:01.175940,0
0 days 00:00:01.184476,0 days 00:00:01.180563,0
0 days 00:00:01.188981,0 days 00:00:01.185152,0
0 days 00:00:01.193736,0 days 00:00:01.189765,0
0 days 00:00:01.198773,0 days 00:00:01.194774,0
0 days 00:00:01.203415,0 days 00:00:01.199542,0
0 days 00:00:01.208005,0 days 00:00:01.204161,0
0 days 00:00:01.212762,0 days 00:00:01.208866,0
0 days 00:00:01.217373,0 days 00:00:01.213548,0
0 days 00:00:01.222071,0 days 00:00:01.218158,0
0 days 00:00:01.226715,0 days 00:00:01.222862,0
0 days 00:00:01.231683,0 days 00:00:01.227600,0
0 days 00:00:01.236289,0 days 00:00:01.232444,0
0 days 00:00:01.240943,0 days 00:00:01.237072,0
0 days 00:00:01.245966,0 days 00:00:01.241858,0
0 days 00:00:01.250651,0 days 00:00:01.246790,0
0 days 00:00:01.255331,0 days 00:00:01.251412,0
0 days 00:00:01.259855,0 days 00:00:01.256104,0
0 days 00:00:01.264880,0 days 00:00:01.260817,0
0 days 00:00:01.269494,0 days 00:00:01.265665,0
0 days 00:00:01.274105,0 days 00:00:01.270256,0
0 days 00:00:01.278816,0 days 00:00:01.274934,0
0 days 00:00:01.283453,0 days 00:00:01.279613,0
0 days 00:00:01.288205,0 days 00:00:01.284228,0
0 days 00:00:01.292971,0 days 00:00:01.289076,0
0 days 00:00:01.297741,0 days 00:00:01.293864,0
0 days 00:00:01.302244,0 days 00:00:01.298469,0
0 days 00:00:01.306799,0 days 00:00:01.302995,0
0 days 00:00:01.311630,0 days 00:00:01.307718,0
0 days 00:00:01.316233,0 days 00:00:01.312381,0
0 days 00:00:01.320761,0 days 00:00:01.316970,0
0 days 00:00:01.325425,0 days 00:00:01.321543,0
0 days 00:00:01.330141,0 days 00:00:01.326232,0
0 days 00:00:01.334722,0 days 00:00:01.330880,0
0 days 00:00:01.339585,0 days 00:00:01.335588,0
0 days 00:00:01.344504,0 days 00:00:01.340503,0
0 days 00:00:01.349166,0 days 00:00:01.345367,0
0 days 00:00:01.353687,0 days 00:00:01.349901,0
0 days 00:00:01.358338,0 days 00:00:01.354446,0
0 days 00:00:01.363592,0 days 00:00:01.359416,0
0 days 00:00:01.372797,0 days 00:00:01.366721,0
0 days 00:00:01.379140,0 days 00:00:01.374190,0
0 days 00:00:01.386978,0 days 00:00:01.380853,0
0 days 00:00:01.394742,0 days 00:00:01.388775,0
0 days 00:00:01.399871,0 days 00:00:01.395645,0
0 days 00:00:01.404595,0 days 00:00:01.400629,0
0 days 00:00:01.409697,0 days 00:00:01.405540,0
0 days 00:00:01.414954,0 days 00:00:01.410654,0
0 days 00:00:01.419848,0 days 00:00:01.415805,0
